,Summer Cat,Gee Shes Pretty,Shes An Angel,Mrs Krinkles,Queen Bridget,Wild Prospect,Sexy Rags,Gurkha Gold
16-12-2022 14:47:28.142950,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 23.90909090909091)","(21.0, 90.0, 71.71428571428571)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:29.342939,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 23.27777777777778)","(21.0, 90.0, 71.71428571428571)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:30.473959,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 23.27777777777778)","(21.0, 90.0, 71.71428571428571)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:31.554363,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 24.363636363636363)","(21.0, 90.0, 71.71428571428571)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:32.553672,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 21.214285714285715)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:33.723660,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 21.214285714285715)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:34.798159,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 25.166666666666668)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:35.951187,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 26.0)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:37.125715,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 26.0)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:38.315932,"(4.0, 4.9, 4.6125)","(12.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(13.0, 28.0, 26.0)","(21.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:39.510832,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.77777777777778)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:40.651013,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.77777777777778)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:41.773424,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.833333333333332)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:42.927890,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.75)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:44.027544,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.75)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:45.158819,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.77777777777778)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:46.296837,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 92.5)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.833333333333332)","(26.0, 90.0, 64.4)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:47.414132,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.545454545454547)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:48.562924,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.545454545454547)","(26.0, 90.0, 69.33333333333334)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:49.731661,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 25.545454545454547)","(26.0, 90.0, 69.33333333333334)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:50.921612,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:52.168522,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.357142857142858)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5142857142857142)"
16-12-2022 14:47:53.308538,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 24.357142857142858)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5083333333333333)"
16-12-2022 14:47:54.402474,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5083333333333333)"
16-12-2022 14:47:55.489562,"(4.0, 4.9, 4.6125)","(13.0, 18.5, 17.25)","(31.0, 130.0, 85.0)","(5.5, 99999, 99990)","(4.0, 4.9, 4.845454545454546)","(14.0, 28.0, 22.6)","(26.0, 90.0, 48.0)","(3.0, 3.55, 3.5083333333333333)"
