,Coorong Cam,Paw Some Sloane,Terrific Arnold,Zipping Daria,Terrific Tyla,Allinga Molly,Emerley Star,Barefoot Rebel
0,"[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 23, 211958), 6.5, 12.5]"
1,"[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 24, 400572), 6.5, 12.5]"
2,"[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 25, 567235), 6.5, 12.5]"
3,"[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 26, 717957), 6.5, 12.5]"
4,"[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 27, 866141), 6.5, 12.5]"
5,"[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 29, 4527), 6.5, 12.5]"
6,"[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 30, 160695), 6.5, 12.5]"
7,"[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 31, 327230), 6.5, 12.5]"
8,"[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 32, 519159), 6.5, 12.5]"
9,"[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 2.15, 3.25]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 26.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 3.3, 4.9]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 26.0, 260.0]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 33, 33, 662141), 6.5, 12.5]"
