,Perfect Tyrant,Freddy Vegas,Break And Enter,Cracking Force,Black Nettle,Rebel Prince,Wild Mister,High Times
14-12-2022 12:06:34.575401,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 530.0, 236.0)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:35.691902,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 236.0)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:36.802439,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 222.42857142857142)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:37.914954,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:39.027750,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:40.199754,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:41.334058,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:42.452506,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:43.632261,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:44.789512,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
14-12-2022 12:06:45.963431,"(1.6, 2.4, 2.1735294117647057)","(10.0, 21.0, 18.9)","(19.0, 100.0, 43.27272727272727)","(20.0, 70.0, 40.57142857142857)","(3.9, 6.8, 4.4818181818181815)","(31.0, 230.0, 101.42857142857143)","(61.0, 540.0, 243.59999999999997)","(5.5, 9.6, 7.466666666666667)"
