,Best Back Bruce,Quiet Storm,Breathe Easy,Up And About,Vapar Brenda,Hameldaeme,Shardonant,Senna Storm,Telemachus,Victory George
07-12-2022 19:52:45.608277,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:52:47.151040,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:52:48.548850,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.733333333333333)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.81)"
07-12-2022 19:52:50.031972,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:52:51.461197,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.775)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.881818181818182)"
07-12-2022 19:52:52.970883,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.775)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.881818181818182)"
07-12-2022 19:52:54.327149,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:52:55.752713,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 29.333333333333336)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:52:57.187023,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:52:58.635472,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.6125)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.889090909090909)"
07-12-2022 19:53:00.185631,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:01.635526,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.733333333333333)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.81)"
07-12-2022 19:53:03.123907,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.733333333333333)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.81)"
07-12-2022 19:53:04.589105,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 7.8, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:06.071442,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.9)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.8333333333333335)"
07-12-2022 19:53:07.528359,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.0, 7.65)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:09.027019,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
07-12-2022 19:53:10.576940,"(10.0, 17.0, 15.714285714285715)","(10.0, 17.5, 16.071428571428573)","(3.4, 4.5, 3.7399999999999998)","(15.0, 18.5, 17.5625)","(5.5, 8.4, 7.677777777777778)","(31.0, 80.0, 70.66666666666667)","(18.0, 34.0, 25.333333333333332)","(18.0, 36.0, 25.333333333333332)","(31.0, 70.0, 47.333333333333336)","(2.45, 3.1, 2.867272727272727)"
