,Cardinal Sin Nz,Ah Mach Nz,Reckless Dream,Forgot The Wallet,Euroking,Kerala Star Nz,Jawbreaker,Agouda Ruler
08-01-2023 15:38:24.326027,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:25.325489,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:26.560335,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:27.622298,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:28.702128,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:29.800236,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:30.927951,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:32.046395,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:33.117929,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:34.208854,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:35.294744,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:36.341607,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:37.371460,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:38.434388,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:39.482226,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:40.540007,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:41.569605,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:42.607850,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:43.668064,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:44.711557,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:45.775311,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:46.748810,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:47.776092,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:48.821227,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:49.848509,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:50.917516,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:51.922543,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:52.935018,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:53.995587,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:55.141214,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:56.158810,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:57.209325,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:58.227624,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:38:59.267905,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:00.366457,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:01.381190,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
08-01-2023 15:39:02.415644,"(31.0, 99999, 99990)","(1.26, 99999, 99990)","(9.0, 20.0, 12.933333333333334)","(9.0, 20.0, 12.133333333333333)","(21.0, 65.0, 39.0)","(41.0, 99999, 99990)","(15.0, 42.0, 22.125)","(7.5, 15.5, 9.11)"
