,Zipping Randy,Winlock Boots,Tricky Avenue,Shades Of Rose,More Crackers,Winsome Milo,Mud Muffin,Plegridy Blues
0,"[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 17, 439788), 31.0, 230.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 18, 584707), 31.0, 230.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 19, 717693), 31.0, 230.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 20, 856740), 31.0, 230.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 21, 987795), 31.0, 230.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 23, 121738), 31.0, 230.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 24, 262224), 31.0, 230.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 25, 404347), 31.0, 230.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 26, 544437), 31.0, 230.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 1.8, 3.0]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 18.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 18.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 16, 38, 27, 690370), 31.0, 230.0]"
