,Forgive Me,Vermont,Keayang Tara,Artful Jack,Kudos Mason,Whata Terror,The Casual Goose,Scene Of Terror,Voodoo Fella
12-01-2023 16:06:41.100478,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:42.444449,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:43.818958,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:45.234904,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:46.744659,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:48.291810,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:49.755806,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:51.095887,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:52.344421,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:53.532978,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:54.699540,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:55.937658,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:57.423929,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:06:58.775400,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:00.176410,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:01.590354,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:03.190510,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:04.468051,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:05.780366,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:07.021158,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:08.285416,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:09.584417,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:10.932001,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:12.250874,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:13.502764,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:14.650200,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:15.841065,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:17.205504,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:18.640190,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:20.138058,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.0, 12.2)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
