,Abercrombie Limbo,What A Team,Tristars Pet,Our Ultimate Ruby,Torque No Fear,Mister Cracker,Getaloadacam,Wellsaidmylady,Out Of Dodge,Crankhandle
11-01-2023 19:53:16.655647,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:17.847112,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:19.063561,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:20.271539,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:21.379025,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:22.501832,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:23.624984,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:24.844029,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:26.080979,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
11-01-2023 19:53:27.277067,"(3.6, 5.6, 4.942857142857143)","(81.0, 220.0, 180.0)","(101.0, 220.0, 185.71428571428572)","(4.2, 5.8, 4.506896551724138)","(26.0, 95.0, 66.2)","(26.0, 90.0, 62.8)","(4.8, 9.2, 7.4799999999999995)","(5.0, 12.0, 8.17142857142857)","(4.0, 8.0, 4.8)","(19.0, 46.0, 38.625)"
