,Van Damme,Bold Prophet,A I Initiative,Pont Du Gard,Onlyattheshoe
14,"[datetime.datetime(2022, 11, 28, 10, 46, 47, 863757), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 47, 863757), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 47, 863757), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 47, 863757), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 47, 863757), 4.8, 7.4]"
15,"[datetime.datetime(2022, 11, 28, 10, 46, 48, 945595), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 48, 945595), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 48, 945595), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 48, 945595), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 48, 945595), 4.8, 7.4]"
16,"[datetime.datetime(2022, 11, 28, 10, 46, 50, 29876), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 50, 29876), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 50, 29876), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 50, 29876), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 50, 29876), 4.8, 7.4]"
17,"[datetime.datetime(2022, 11, 28, 10, 46, 51, 117446), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 51, 117446), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 51, 117446), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 51, 117446), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 51, 117446), 4.8, 7.4]"
18,"[datetime.datetime(2022, 11, 28, 10, 46, 52, 202656), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 52, 202656), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 52, 202656), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 52, 202656), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 52, 202656), 4.8, 7.4]"
19,"[datetime.datetime(2022, 11, 28, 10, 46, 53, 315382), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 53, 315382), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 53, 315382), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 53, 315382), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 53, 315382), 4.8, 7.4]"
20,"[datetime.datetime(2022, 11, 28, 10, 46, 54, 398437), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 54, 398437), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 54, 398437), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 54, 398437), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 54, 398437), 4.8, 7.4]"
21,"[datetime.datetime(2022, 11, 28, 10, 46, 55, 486513), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 55, 486513), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 55, 486513), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 55, 486513), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 55, 486513), 4.8, 7.4]"
22,"[datetime.datetime(2022, 11, 28, 10, 46, 56, 571951), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 56, 571951), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 56, 571951), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 56, 571951), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 56, 571951), 4.8, 7.4]"
23,"[datetime.datetime(2022, 11, 28, 10, 46, 57, 653661), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 57, 653661), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 57, 653661), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 57, 653661), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 57, 653661), 4.8, 7.4]"
24,"[datetime.datetime(2022, 11, 28, 10, 46, 58, 733360), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 58, 733360), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 58, 733360), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 58, 733360), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 58, 733360), 4.8, 7.4]"
25,"[datetime.datetime(2022, 11, 28, 10, 46, 59, 820368), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 59, 820368), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 59, 820368), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 59, 820368), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 59, 820368), 4.8, 7.4]"
26,"[datetime.datetime(2022, 11, 28, 10, 47, 0, 910914), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 0, 910914), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 0, 910914), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 0, 910914), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 0, 910914), 4.8, 7.4]"
27,"[datetime.datetime(2022, 11, 28, 10, 47, 1, 996056), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 1, 996056), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 1, 996056), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 1, 996056), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 1, 996056), 4.8, 7.4]"
28,"[datetime.datetime(2022, 11, 28, 10, 47, 3, 80148), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 3, 80148), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 3, 80148), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 3, 80148), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 3, 80148), 4.8, 7.4]"
29,"[datetime.datetime(2022, 11, 28, 10, 47, 4, 176046), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 4, 176046), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 4, 176046), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 4, 176046), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 4, 176046), 4.8, 7.4]"
30,"[datetime.datetime(2022, 11, 28, 10, 47, 5, 267519), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 5, 267519), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 5, 267519), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 5, 267519), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 5, 267519), 4.8, 7.4]"
