,Haras Pearl,Stolen Moment,Jack Spot,Mad Max Blue,Fire Flick,Uncle Charlie,Dairy Girl
04-01-2023 13:53:53.759743,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9757142857142858)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 20.0, 18.514285714285712)","(21.0, 80.0, 44.375)"
04-01-2023 13:53:54.999342,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 20.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:53:56.110524,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:53:57.202678,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:53:58.404830,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:53:59.574762,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:00.716173,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:01.847943,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:03.014661,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:04.137704,"(2.45, 2.94, 2.7763636363636364)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9722222222222223)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 24.0, 18.240000000000002)","(21.0, 80.0, 44.375)"
