,Abbys Comet,Wagtail Demon,La Brea,Phantom Patch,Abbys Illusion,Fend Them Off,Lektra Sammy
10-01-2023 17:02:25.281551,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:26.704254,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:28.129110,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:29.576651,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:30.956324,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:32.138738,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:33.342577,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:34.572830,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:35.934982,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:37.267132,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:38.529023,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:40.019562,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:41.412595,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:42.793441,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:43.957662,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:45.148675,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:46.557689,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:47.968701,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.148936170212766)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:49.225865,"(5.0, 10.0, 8.533333333333333)","(4.4, 8.4, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:50.401622,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:51.713818,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:53.023006,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:54.249790,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 14.594117647058823)","(7.5, 14.0, 13.0)","(11.0, 27.0, 22.147058823529413)"
10-01-2023 17:02:55.505875,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 15.5, 15.035294117647059)","(7.5, 14.0, 13.0)","(11.0, 27.0, 21.5)"
10-01-2023 17:02:56.733508,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 16.0, 15.035294117647059)","(7.5, 14.0, 13.0)","(11.0, 27.0, 21.5)"
10-01-2023 17:02:58.030495,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 16.0, 15.035294117647059)","(7.5, 14.0, 13.0)","(11.0, 27.0, 21.5)"
10-01-2023 17:02:59.311379,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 16.0, 15.035294117647059)","(7.5, 14.0, 13.0)","(11.0, 27.0, 21.5)"
10-01-2023 17:03:00.757806,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 16.0, 15.035294117647059)","(7.5, 14.0, 13.0)","(11.0, 27.0, 21.5)"
10-01-2023 17:03:02.159444,"(5.0, 10.0, 8.533333333333333)","(4.4, 7.6, 7.152631578947368)","(2.8, 4.3, 2.8066666666666666)","(5.5, 12.5, 6.38)","(8.0, 16.0, 15.035294117647059)","(7.5, 14.0, 11.666666666666668)","(11.0, 27.0, 17.4)"
