,Arctic Princess,Cosmic Event,Shocking Habit,Superior Sam,Wishlor Lass,Ausvardia,Majestic Rossa,Piwhane,Spiritual Thinker
08-12-2022 13:43:54.913674,"(10.0, 15.0, 14.571428571428571)","(10.0, 16.0, 13.375)","(3.9, 4.7, 4.517021276595744)","(5.5, 7.4, 7.233333333333333)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.226086956521739)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:43:56.088027,"(10.0, 15.0, 14.571428571428571)","(10.0, 16.0, 13.375)","(3.9, 4.7, 4.517021276595744)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.226086956521739)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:43:57.320365,"(10.0, 15.0, 14.571428571428571)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.5285714285714285)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.226086956521739)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:43:58.511080,"(10.0, 15.0, 14.571428571428571)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.226086956521739)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:43:59.695732,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.226086956521739)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:00.978888,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:02.134060,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:03.264243,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:04.392050,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
08-12-2022 13:44:05.576925,"(10.0, 15.0, 14.705882352941176)","(10.0, 16.0, 13.375)","(3.9, 4.6, 4.554545454545455)","(5.5, 7.4, 7.266666666666667)","(5.0, 6.8, 6.64)","(8.0, 9.4, 9.233333333333334)","(21.0, 48.0, 44.30769230769231)","(16.0, 27.0, 21.666666666666668)","(4.6, 5.7, 5.557142857142857)"
