,Askey,Jimmy Joe,Bogie Bandit,Rutland Bella,Dance A Tango,Moon Shine,Rutland Fred,Tiny Keen
12-01-2023 15:56:35.580938,"(3.2, 7.4, 6.466666666666667)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:56:36.675789,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:56:37.863197,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.19)"
12-01-2023 15:56:39.021460,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.56, 2.23)"
12-01-2023 15:56:40.163441,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:41.239778,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:42.264073,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:43.309599,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:44.372850,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:45.391549,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:46.401518,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:47.382078,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:48.401209,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
12-01-2023 15:56:49.432152,"(3.2, 7.4, 6.0)","(6.5, 11.5, 8.65)","(41.0, 330.0, 217.69230769230768)","(12.0, 30.0, 24.852941176470587)","(91.0, 600.0, 371.1111111111111)","(31.0, 240.0, 185.78947368421055)","(6.5, 11.5, 6.583333333333333)","(1.8, 2.64, 2.23)"
