,Union Rally,Highway Queen,Paynt By Number,Simple Souvenir,Run Laura Run,Denali Rae
12-01-2023 08:08:49.520396,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:50.527554,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:51.475589,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:52.450771,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:53.459852,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:54.469758,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:55.512295,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:56.535896,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:57.487700,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:58.402939,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:08:59.329751,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:00.346186,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:01.310234,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:02.294201,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:03.261776,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:04.244397,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
12-01-2023 08:09:05.231119,"(19.0, 30.0, 21.5)","(10.0, 20.0, 14.8)","(2.25, 8.2, 3.955)","(3.6, 3.85, 3.7642857142857142)","(5.0, 8.6, 6.35)","(8.5, 29.0, 21.240000000000002)"
