,Johnny Cool,Master The Art,Trending Wanda,Unleaded Diesel,Boomburst,Serena Bale,Rock Me Rocco
04-01-2023 12:29:08.696045,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:09.750456,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:10.773130,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:11.911694,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:13.048002,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:14.098046,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:15.038990,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:16.106020,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:17.142515,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:18.226535,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:19.386474,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:20.495663,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:21.610010,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:22.712760,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:23.780014,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:24.890445,"(3.3, 6.0, 4.573076923076924)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:26.000086,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:27.088575,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:28.178289,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:29.241910,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:30.278137,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:31.302532,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:32.281265,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:33.268773,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:34.320426,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:35.296515,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:36.278369,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:37.244183,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:38.215435,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:39.323796,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
04-01-2023 12:29:40.488168,"(3.3, 6.2, 3.868181818181818)","(3.9, 7.4, 4.5600000000000005)","(9.0, 18.0, 11.2)","(91.0, 650.0, 552.5)","(2.9, 3.15, 2.8859999999999997)","(10.0, 23.0, 19.875)","(5.5, 9.0, 8.276190476190475)"
