,Alvarez Bale,Quimby Bale,Aston Senator,Sweet Assassin,Call Me Jim,Placid Hero,Ramstein Bale,Whiskey Reef
16-12-2022 14:25:30.870160,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:31.800882,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:32.735090,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:33.655661,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:34.574243,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:35.517730,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:36.488474,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 23.61111111111111)","(4.4, 9.6, 8.844444444444445)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:37.440396,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 28.75)","(4.4, 9.6, 8.2)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:38.377669,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 28.75)","(4.4, 9.6, 8.2)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:39.309688,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 28.75)","(4.4, 9.6, 8.2)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:40.228430,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 38.0, 28.75)","(4.4, 9.6, 8.2)","(10.0, 21.0, 16.5)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:41.143810,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 8.2)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:42.066508,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:43.001332,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:43.944272,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:44.869690,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:45.799839,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:46.728258,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:47.649969,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:48.573650,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:49.490344,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:50.416312,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:51.329319,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:52.275443,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:53.207820,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 7.199999999999999)","(10.0, 19.5, 15.75)","(3.1, 4.2, 3.721739130434783)"
16-12-2022 14:25:54.138357,"(3.3, 4.7, 4.128571428571429)","(21.0, 60.0, 31.636363636363637)","(11.0, 21.0, 14.0)","(6.5, 11.0, 10.16)","(12.0, 36.0, 27.75)","(4.4, 9.6, 6.914285714285715)","(10.0, 21.0, 13.5)","(3.1, 4.2, 3.721739130434783)"
