,Victa Lisa,Velocity Nikki,South Aussie Boy,Your Girl Airlie,Flaming Galah,Little Franky
06-01-2023 11:23:51.376616,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 100.0, 55.625)"
06-01-2023 11:23:52.407861,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:53.389330,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:54.409199,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:55.433610,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:56.471616,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:57.422732,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:58.333950,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:23:59.247484,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:00.170286,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:01.106750,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:02.020647,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:02.953197,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:03.842370,"(2.3, 3.75, 2.507142857142857)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:04.868606,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:05.920474,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:06.880980,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:07.779675,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:08.718436,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:09.701725,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:10.670574,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:11.617255,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:12.664069,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:13.610214,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:14.516891,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:15.519641,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:16.556533,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:17.541877,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:18.550206,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:19.488981,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:20.376261,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:21.280936,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:22.297585,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:23.280746,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:24.349136,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:25.368851,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:26.304778,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:27.175979,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:28.186282,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:29.160441,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:30.124528,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:31.057426,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:32.016356,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:32.984678,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:33.948121,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:35.027234,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:36.114657,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:37.246599,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:38.365470,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:39.398072,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:40.341713,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:41.324372,"(2.3, 3.75, 2.5416666666666665)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:42.267391,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:43.263368,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:44.217794,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:45.269328,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:46.268895,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:47.230588,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:48.288455,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:49.377337,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:50.435897,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:51.489777,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:52.499636,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:53.520063,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:54.615256,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:55.631943,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:56.602249,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
06-01-2023 11:24:57.551067,"(2.3, 3.75, 3.296875)","(3.0, 6.2, 4.3100000000000005)","(3.8, 6.4, 4.1695652173913045)","(10.0, 20.0, 18.94)","(9.0, 17.0, 12.6)","(26.0, 110.0, 55.625)"
