,Bakali Migaloo,Harvard Scholar,Hotspot Hero,Master Eduardo,Mepunga Riley,Little Zambora
11-01-2023 09:11:37.818733,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:38.946015,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:39.972071,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:41.132777,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:42.360446,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:43.576557,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:44.817514,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:45.856379,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:46.914146,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
11-01-2023 09:11:48.058596,"(4.6, 8.2, 6.683333333333334)","(4.6, 9.0, 7.671111111111111)","(26.0, 110.0, 55.625)","(61.0, 560.0, 299.0)","(1.4, 2.0, 1.9302325581395348)","(14.0, 38.0, 31.625)"
