,Bucked Tooth,Unnamed Soldier,Roll Dem Bones,Grumpelstiltskin,Scotty Silver,Grand Fiber,Shackled,Fu Man Sue
07-01-2023 09:39:27.570917,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 7.333333333333333)","(8.0, 44.0, 35.2)","(3.8, 7.8, 6.2)"
07-01-2023 09:39:28.922029,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 7.333333333333333)","(8.0, 44.0, 35.2)","(3.8, 7.8, 6.2)"
07-01-2023 09:39:30.151451,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 7.333333333333333)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:31.320545,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 7.333333333333333)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:32.619610,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 7.333333333333333)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:33.837480,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 11.0, 6.824999999999999)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:35.108700,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 8.4, 6.824999999999999)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:36.402793,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 8.4, 6.824999999999999)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:37.644158,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 8.4, 6.824999999999999)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
07-01-2023 09:39:38.928011,"(17.0, 19.5, 16.5)","(17.0, 36.0, 28.4)","(15.0, 29.0, 19.75)","(2.25, 3.5, 3.1399999999999997)","(12.0, 11.5, 10.66)","(7.0, 8.4, 7.127272727272728)","(8.0, 44.0, 34.95)","(3.8, 7.8, 6.16)"
