,Divine Flirt,Blue Eyed Girl,Distorted Secrets,Scenic Eclipse,Startedwithakiss,Red Cadillac,See Ya Champ,Lady Tornado,Fire And Gold,Heartly,Luna Nobel
14-12-2022 19:10:21.913897,"(5.5, 6.2, 6.011594202898551)","(3.1, 3.55, 3.5357142857142856)","(61.0, 160.0, 148.0)","(4.4, 4.8, 4.718181818181818)","(31.0, 80.0, 75.83333333333333)","(5.5, 6.8, 6.751724137931034)","(21.0, 34.0, 33.45454545454545)","(7.0, 8.8, 8.6875)","(101.0, 390.0, 323.3333333333333)","(51.0, 70.0, 68.88888888888889)","(71.0, 110.0, 106.73913043478261)"
14-12-2022 19:10:23.381815,"(5.5, 6.2, 6.014942528735633)","(3.1, 3.55, 3.539090909090909)","(61.0, 160.0, 153.33333333333334)","(4.4, 4.7, 4.641666666666667)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 36.0, 32.734693877551024)","(7.0, 8.8, 8.68695652173913)","(101.0, 390.0, 306.6666666666667)","(51.0, 70.0, 68.75)","(71.0, 110.0, 106.73913043478261)"
14-12-2022 19:10:24.780859,"(5.5, 6.4, 6.230769230769231)","(3.1, 3.55, 3.5352459016393443)","(61.0, 160.0, 153.33333333333334)","(4.4, 4.7, 4.676271186440678)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 36.0, 32.734693877551024)","(7.0, 8.8, 8.68695652173913)","(101.0, 380.0, 303.3333333333333)","(51.0, 70.0, 68.75)","(71.0, 110.0, 106.73913043478261)"
14-12-2022 19:10:26.200372,"(5.5, 6.4, 6.224)","(3.1, 3.55, 3.5339285714285715)","(61.0, 180.0, 155.0)","(4.4, 4.7, 4.676271186440678)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 36.0, 33.44)","(7.0, 8.8, 8.68695652173913)","(101.0, 370.0, 303.3333333333333)","(51.0, 70.0, 68.75)","(71.0, 110.0, 106.73913043478261)"
14-12-2022 19:10:27.601164,"(5.5, 6.2, 6.179076923076924)","(3.1, 3.55, 3.5339285714285715)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.676271186440678)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 36.0, 35.2)","(7.0, 8.8, 8.727272727272728)","(101.0, 370.0, 303.3333333333333)","(51.0, 70.0, 67.6086956521739)","(71.0, 110.0, 108.0)"
14-12-2022 19:10:28.931470,"(5.5, 6.2, 6.179076923076924)","(3.1, 3.55, 3.535185185185185)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.676271186440678)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.727272727272728)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 67.6086956521739)","(71.0, 110.0, 108.0)"
14-12-2022 19:10:30.299984,"(5.5, 6.2, 6.179640718562874)","(3.1, 3.55, 3.5395833333333333)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.676271186440678)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 67.6086956521739)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:31.758170,"(5.5, 6.2, 6.179640718562874)","(3.1, 3.55, 3.5475)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6625000000000005)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 67.6086956521739)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:33.102940,"(5.5, 6.2, 6.179640718562874)","(3.1, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6625000000000005)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 67.6086956521739)","(71.0, 110.0, 107.0)"
14-12-2022 19:10:34.475673,"(5.5, 6.2, 6.179640718562874)","(3.1, 3.55, 3.5466666666666664)","(61.0, 180.0, 168.88888888888889)","(4.4, 4.7, 4.6625000000000005)","(31.0, 80.0, 75.83333333333333)","(5.5, 7.0, 6.7375)","(21.0, 38.0, 35.2)","(7.0, 8.8, 8.742857142857144)","(101.0, 370.0, 303.3333333333333)","(51.0, 75.0, 63.46153846153846)","(71.0, 110.0, 107.0)"
