,Sunset Tara,Body Slam,Fried Giblet,Intruder,Zinger Giblet,Shes Magical
08-01-2023 15:58:31.451986,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:32.445899,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:33.386938,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:34.258654,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:35.314824,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:36.313026,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:37.198311,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:38.203031,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:39.175082,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:40.085598,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:41.088406,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:41.955951,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:42.939049,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:43.966743,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:44.868344,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:45.735642,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:46.689635,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:47.579561,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:48.656595,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:49.647132,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:50.507685,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:58:51.510312,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 9.75128205128205)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
