,The Ringmaster,Jogalong Blue,Stilton,Zacharooni,Laker,Im Freyja,Booker Bay,Major Gnp Nz,Manic Mia,Barrys Brother
15-12-2022 13:59:10.097853,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:11.332354,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:12.657519,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:13.901516,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:15.100516,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:16.334497,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:17.571108,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:18.964782,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:20.233995,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:21.486336,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:22.747865,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:24.036931,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
15-12-2022 13:59:25.320467,"(31.0, 130.0, 72.15384615384616)","(4.4, 7.4, 6.4)","(18.0, 48.0, 35.2)","(7.0, 16.5, 12.6375)","(81.0, 550.0, 365.38461538461536)","(21.0, 70.0, 38.0)","(3.8, 7.8, 7.262499999999999)","(1.9, 99999, 99990)","(101.0, 960.0, 627.3076923076923)","(41.0, 180.0, 108.0)"
