,Dreamseeker,Papas Dream,Vandini,Royalspector,Zou Zou Kacanarkis,Mr Lannigan,Lexington Lad,Top Babe,Cadouin,Gratsie,Rains Aplenty,Hold All Tickets
12-01-2023 17:48:49.499865,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.215686274509803)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:48:51.279880,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.215686274509803)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:48:53.029169,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.215686274509803)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:48:54.726647,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.215686274509803)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:48:56.471049,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.215686274509803)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:48:58.226913,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:49:00.073590,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:49:02.182612,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 140.0)"
12-01-2023 17:49:04.043948,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:05.839839,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:07.543401,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:09.252231,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:10.936913,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:12.601393,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:14.268033,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:16.012768,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:17.692996,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.753448275862069)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:19.345909,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.125)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:21.115850,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
12-01-2023 17:49:22.762147,"(2.9, 3.15, 3.09)","(16.0, 26.0, 21.0)","(51.0, 85.0, 60.0)","(7.5, 9.0, 8.322033898305085)","(4.0, 7.0, 6.683050847457627)","(20.0, 36.0, 31.666666666666664)","(5.5, 6.8, 6.712195121951219)","(7.5, 11.0, 10.222222222222221)","(81.0, 100.0, 87.14285714285714)","(14.0, 20.0, 19.25)","(41.0, 110.0, 103.6)","(71.0, 190.0, 135.0)"
