,Sailalong Sinbad,Mighty George Nz,Lord Of Misrule Nz,Quartzite,Delta Three Nz,Kyronta,What A Jolt,Mossdale Mac Nz,Cheetah Lodge
10-01-2023 16:03:45.444082,"(10.0, 18.0, 14.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 176.66666666666669)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 8.128571428571428)"
10-01-2023 16:03:46.877020,"(10.0, 18.0, 14.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 176.66666666666669)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 8.128571428571428)"
10-01-2023 16:03:48.322331,"(10.0, 18.0, 14.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 176.66666666666669)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:49.763980,"(10.0, 18.0, 14.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 176.66666666666669)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:51.228516,"(10.0, 18.0, 14.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:52.561643,"(10.0, 18.0, 15.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:53.899570,"(10.0, 18.0, 15.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:55.391928,"(10.0, 18.0, 15.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:56.826616,"(10.0, 18.0, 15.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 181.42857142857144)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:58.322162,"(10.0, 18.0, 15.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:03:59.606058,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:00.822487,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:02.087864,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:03.313389,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:04.607269,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:05.902226,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 7.6)"
10-01-2023 16:04:07.297473,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 8.272727272727272)"
10-01-2023 16:04:08.628992,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.5, 3.9299999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 210.0, 177.14285714285714)","(6.5, 99999, 99990)","(6.0, 8.6, 8.3)"
