,Stompem Nz,Whata Roller,We Always Have Faith Nz,Karloo Bradley Nz,Saving Major Percy,Kanye Crusader
10-01-2023 13:33:15.166450,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:16.154501,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:17.191111,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:18.204832,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:19.219964,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:20.276618,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:21.321599,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:22.373138,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:23.246165,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:24.235375,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:25.236239,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
10-01-2023 13:33:26.284933,"(4.8, 99999, 99990)","(2.4, 3.1, 2.553658536585366)","(3.4, 99999, 99990)","(5.0, 99999, 99990)","(31.0, 50.0, 41.0)","(7.0, 12.5, 10.25)"
