,Speedy Sunny,Sister One,Slick Soldier,Fabulous Victor,Coopers Mate,Misbehaved,My Luck Many
04-01-2023 14:45:52.267477,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:45:53.316731,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:45:54.430734,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:45:55.575345,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 11.5)"
04-01-2023 14:45:56.817155,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:45:57.946094,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:45:58.991785,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:00.048574,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:01.007380,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
04-01-2023 14:46:01.966999,"(11.0, 22.0, 20.9)","(4.6, 9.0, 6.410526315789474)","(3.5, 4.8, 3.675)","(4.2, 6.4, 5.476923076923077)","(4.6, 8.6, 5.817391304347826)","(8.5, 16.0, 15.257142857142856)","(7.5, 13.0, 12.81492537313433)"
