,Lucretia Ann,Tarlee,Joffas Neptune,So Joe Mac,Bingo Ringo,Mechanics Kismet,Means Business,Knuckles Galore
07-01-2023 09:08:48.583332,"(4.2, 8.2, 5.888888888888888)","(4.6, 10.0, 6.475)","(14.0, 34.0, 32.421052631578945)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 26.0, 25.363636363636363)","(2.9, 2.98, 2.9311627906976745)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:49.685728,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.8, 6.425)","(14.0, 40.0, 32.421052631578945)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.98, 2.969156626506024)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:50.830338,"(4.2, 8.2, 5.727272727272727)","(4.6, 9.0, 7.942857142857143)","(14.0, 40.0, 32.421052631578945)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.98, 2.969156626506024)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:51.930706,"(4.2, 8.2, 5.727272727272727)","(4.6, 9.0, 7.942857142857143)","(14.0, 40.0, 32.421052631578945)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.98, 2.969156626506024)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:53.003540,"(4.2, 8.2, 5.727272727272727)","(4.6, 9.0, 7.942857142857143)","(14.0, 40.0, 32.421052631578945)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.98, 2.969156626506024)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:54.084925,"(4.2, 8.0, 6.666666666666666)","(4.6, 8.8, 7.800000000000001)","(14.0, 40.0, 29.53846153846154)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.98, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:55.166602,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.883333333333333)","(14.0, 40.0, 29.53846153846154)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:56.227496,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.883333333333333)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:57.273884,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.985714285714284)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:58.306578,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.985714285714284)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:08:59.334491,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.985714285714284)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:09:00.370132,"(4.2, 8.2, 5.888888888888888)","(4.6, 9.6, 8.985714285714284)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:09:01.425386,"(4.2, 8.2, 5.842105263157895)","(4.6, 9.6, 6.132258064516129)","(14.0, 40.0, 30.285714285714285)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.857142857142857)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.8498823529411763)","(9.0, 21.0, 20.5)"
07-01-2023 09:09:02.471354,"(4.2, 8.2, 5.842105263157895)","(4.6, 9.4, 7.536363636363637)","(14.0, 40.0, 32.8421052631579)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.68)","(10.0, 27.0, 25.363636363636363)","(2.9, 2.9, 2.741118881118881)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:03.532202,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 40.0, 32.8421052631579)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.68)","(10.0, 28.0, 26.6)","(2.9, 2.88, 2.6851282051282053)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:04.580519,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 40.0, 32.8421052631579)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.68)","(10.0, 28.0, 26.6)","(2.9, 2.88, 2.6851282051282053)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:05.588756,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 33.15384615384615)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.68)","(10.0, 28.0, 26.6)","(2.9, 2.88, 2.6851282051282053)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:06.557959,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 33.15384615384615)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.68)","(10.0, 28.0, 26.6)","(2.9, 2.86, 2.6881818181818184)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:07.522138,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 33.15384615384615)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.822222222222222)","(10.0, 28.0, 26.6)","(2.9, 2.88, 2.8623529411764705)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:08.466986,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 33.15384615384615)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.822222222222222)","(10.0, 28.0, 26.285714285714285)","(2.9, 2.88, 2.853818181818182)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:09.472519,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 32.333333333333336)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.885714285714285)","(10.0, 28.0, 27.0)","(2.9, 2.88, 2.853818181818182)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:10.478686,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 32.333333333333336)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.885714285714285)","(10.0, 28.0, 27.0)","(2.9, 2.88, 2.853818181818182)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:11.513145,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 32.333333333333336)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.885714285714285)","(10.0, 28.0, 27.0)","(2.9, 2.88, 2.853818181818182)","(9.0, 16.0, 13.311688311688311)"
07-01-2023 09:09:12.534512,"(4.2, 8.2, 5.4)","(4.6, 9.4, 7.536363636363637)","(14.0, 34.0, 32.333333333333336)","(81.0, 580.0, 534.0)","(4.2, 6.0, 5.885714285714285)","(10.0, 28.0, 27.0)","(2.9, 2.88, 2.853818181818182)","(9.0, 16.0, 13.311688311688311)"
