,Social Virtigo,Nutty Nuts,Big Time Girly,Big Time Ring,Allegro Wriggles,Thrilling Ziggy,Big Time Bumper
06-01-2023 15:34:19.714151,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:20.833039,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:21.831333,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:23.091945,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:24.321032,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:25.541284,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:26.826056,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:28.146710,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:29.447971,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
06-01-2023 15:34:30.778672,"(9.0, 32.0, 29.818181818181817)","(9.0, 24.0, 22.581818181818182)","(15.0, 34.0, 31.07142857142857)","(5.0, 7.8, 7.18)","(6.5, 13.0, 12.176470588235293)","(2.1, 3.35, 3.1546875)","(5.5, 8.8, 8.114285714285714)"
