,Pimmy,Split The Night,Myka,Lornas Flying,Lady Lil,Trish Mail,Long Cool Sally
08-01-2023 11:13:50.451794,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:51.348065,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:52.254310,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:53.146141,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:54.046456,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:54.926413,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:55.812169,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:56.675783,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:57.566430,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:58.433335,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:13:59.312416,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:00.192270,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:01.070713,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:01.980636,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:02.862317,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:03.751047,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:04.642273,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:05.520958,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:06.408899,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:07.326858,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:08.213415,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:09.109166,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:09.999889,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:10.886069,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:11.803596,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:12.687912,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:13.558674,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:14.443764,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:15.321992,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:16.196675,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:17.073814,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:17.972011,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:18.846994,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:19.729952,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:20.609383,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:21.489157,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:22.387659,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:23.253830,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:24.132640,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:24.999535,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:25.873454,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:26.745822,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:27.623047,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:28.498327,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:29.377430,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:30.246999,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:31.120082,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:31.994458,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:32.876779,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:33.749517,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
08-01-2023 11:14:34.619322,"(5.0, 11.5, 5.772727272727273)","(8.0, 99999, 99990)","(3.5, 6.6, 4.7)","(11.0, 27.0, 25.19148936170213)","(7.0, 13.5, 10.795238095238094)","(5.0, 8.8, 7.1848484848484855)","(3.5, 5.8, 4.783018867924528)"
