,King Of All,Honest Thief,Im Indigo,Lektra Sammy,Suntanned,Reel It In,Shanias Dream,Diva Dot
12-01-2023 11:07:34.990574,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:36.302078,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:37.675033,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:39.006265,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 22.909090909090907)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:40.460258,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:41.871733,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:43.191071,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:44.800383,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:46.208519,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:47.646030,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:48.908801,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:50.172212,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:51.337376,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:52.550332,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.26086956521739)"
12-01-2023 11:07:53.734035,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:07:54.977061,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:07:56.208056,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:07:57.414741,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:07:58.614795,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:07:59.817545,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:08:00.968158,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.376470588235295)"
12-01-2023 11:08:02.182570,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:03.416106,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:04.709835,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:05.988820,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:07.285308,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:08.571303,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:09.854994,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:11.071494,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:12.322801,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:13.626854,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:14.909095,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:16.197502,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:17.413639,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:18.555916,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:19.710037,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:20.907936,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:22.098468,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.133333333333333)"
12-01-2023 11:08:23.262568,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:24.399759,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:25.583948,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:26.862162,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:28.126140,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:29.361746,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:30.596190,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:31.791963,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 11.325)"
12-01-2023 11:08:32.964053,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:34.143775,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:35.394056,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:36.596192,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:37.690093,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 26.636363636363637)","(15.0, 36.0, 22.2)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:38.797553,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 24.727272727272727)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:39.949406,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:41.144206,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:42.313336,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:43.541404,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:44.719093,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:45.964142,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:47.122339,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:48.305924,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:49.503823,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:50.705692,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:51.746260,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:52.819576,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:54.002733,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:55.445238,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:56.754720,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:58.016589,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:08:59.328572,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:09:00.629722,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:09:01.907182,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.129999999999999)"
12-01-2023 11:09:03.121746,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:04.240761,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:05.513725,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:06.753859,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:08.064817,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:09.489592,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:10.791922,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
12-01-2023 11:09:12.257024,"(2.7, 4.2, 3.8230769230769233)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.790476190476191)","(5.0, 7.8, 6.538235294117647)","(5.0, 8.8, 7.054545454545455)","(17.0, 55.0, 36.59090909090909)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.5)"
