,King Of All,Honest Thief,Im Indigo,Lektra Sammy,Suntanned,Reel It In,Shanias Dream,Diva Dot
12-01-2023 11:00:21.617740,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:22.724335,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:23.824346,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:24.875714,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:25.928556,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:26.932324,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:27.935490,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:28.937955,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:30.082222,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:31.256474,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.4125)"
12-01-2023 11:00:32.407718,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:33.541372,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:34.719219,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:35.847301,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:36.930967,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:37.997014,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:39.058268,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:40.060402,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:41.008941,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:42.071743,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:43.096635,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:44.146122,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:45.179024,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:46.268807,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:47.256445,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:48.308597,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:49.345401,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:50.387211,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:51.468658,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.692307692307693)"
12-01-2023 11:00:52.575687,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:00:53.638565,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:00:54.795292,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
