,Homebush Stella,Goldstar Yankee,Homebush Cardi,Pretty Orson,Rocket Queen,Amuri Early,Mustard Custard,Goldstar Tommy
09-01-2023 09:01:52.113007,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:53.195237,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:54.221219,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:55.273085,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:56.301204,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:57.474475,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:58.665536,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:01:59.779533,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 304.8333333333333)","(3.8, 10.0, 7.6308510638297875)"
09-01-2023 09:02:00.960869,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 12.0, 9.13953488372093)","(11.0, 65.0, 58.866666666666674)","(31.0, 360.0, 271.5)","(3.8, 10.0, 7.375531914893617)"
09-01-2023 09:02:02.089996,"(5.5, 19.5, 13.620000000000001)","(4.0, 13.5, 11.690625)","(5.0, 19.0, 16.848484848484848)","(13.0, 150.0, 76.94117647058823)","(4.0, 11.0, 8.717073170731709)","(11.0, 65.0, 58.866666666666674)","(31.0, 320.0, 271.5)","(3.8, 9.6, 7.375531914893617)"
