,Whata Reactor,Little Auckland,Lurking,Eastbro Tex,Gulmarg,Whata Challenge,The Crom,Caught Out,Nevaevabend
07-12-2022 20:47:52.170451,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:53.510652,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:54.900998,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:56.293917,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:57.711776,"(2.8, 4.0, 3.41)","(51.0, 140.0, 115.71428571428571)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:59.113764,"(2.8, 4.0, 3.41)","(51.0, 140.0, 115.71428571428571)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:00.556357,"(2.8, 4.0, 3.41)","(51.0, 140.0, 115.71428571428571)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:01.963303,"(2.8, 4.0, 3.41)","(51.0, 140.0, 115.71428571428571)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:03.283267,"(2.8, 4.0, 3.41)","(51.0, 140.0, 115.71428571428571)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:04.535029,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:05.651572,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:06.842891,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:07.948072,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:09.075738,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:10.197128,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:11.375671,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:12.539229,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
