,Black Wood,Skylark Tiara,Magic Madness,Shes Sleek,Big Wednesday,Summer Classic,Corn Cob
10-01-2023 14:35:55.876407,"(1.55, 2.36, 1.6275609756097562)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:35:57.139607,"(1.55, 2.36, 1.6275609756097562)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:35:58.280018,"(1.55, 2.36, 1.6275609756097562)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:35:59.270289,"(1.55, 2.36, 1.6275609756097562)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 6.2727272727272725)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:00.328268,"(1.55, 2.36, 1.6275609756097562)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:01.348663,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:02.452346,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:03.560451,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:04.662539,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.7983333333333333)"
10-01-2023 14:36:05.675434,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.1, 2.79)"
10-01-2023 14:36:06.690258,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:07.774087,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:08.935338,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:10.114837,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:11.214023,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:12.245950,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:13.213721,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:14.258098,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:15.349946,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:16.449124,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:17.548641,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:18.552086,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:19.639476,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:20.692105,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:21.706104,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:22.714149,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:23.758336,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:24.842688,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:25.903377,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:26.978660,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:28.393674,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:29.768539,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:31.015084,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:32.145303,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:33.198348,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:34.249140,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:35.411090,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:36.543344,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
10-01-2023 14:36:37.569636,"(1.55, 2.34, 1.79)","(41.0, 390.0, 217.0)","(41.0, 390.0, 217.0)","(21.0, 100.0, 65.0)","(6.0, 11.0, 8.879999999999999)","(21.0, 100.0, 67.08333333333333)","(2.6, 4.0, 2.79)"
