,Sugar Boom Boom,Big Time Pikey,Big Time Fancy,Big Time Oreo,Drunken Lullaby,Losing Days,Big Time Star,Portelli Punk
06-01-2023 14:59:10.842701,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.392307692307693)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.116666666666667)"
06-01-2023 14:59:12.095429,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.392307692307693)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.116666666666667)"
06-01-2023 14:59:13.300483,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.08235294117647)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:14.529442,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.08235294117647)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:15.671381,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.08235294117647)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:16.856498,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.08235294117647)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:18.018818,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.50322580645161)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:19.206491,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.50322580645161)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:20.486654,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.50322580645161)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
06-01-2023 14:59:21.707373,"(2.9, 4.5, 3.8925925925925924)","(6.5, 11.0, 10.163157894736841)","(8.5, 15.5, 14.25)","(6.0, 9.6, 8.778947368421052)","(8.0, 14.0, 12.984615384615385)","(7.5, 23.0, 22.50322580645161)","(10.0, 19.0, 18.03636363636364)","(5.0, 8.8, 8.16)"
