,Dynamite Travis,Zoe Kate,High Lighter,Hide The Cash,Perfect Skipper,Street Smart,Amber Days,Overnight Soiree
0,"[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 31, 989866), 6.5, 12.0]"
1,"[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 33, 112778), 6.5, 12.0]"
2,"[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 34, 235947), 6.5, 12.0]"
3,"[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 35, 366823), 6.5, 12.0]"
4,"[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 36, 491843), 6.5, 12.0]"
5,"[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 37, 621249), 6.5, 12.0]"
6,"[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 38, 751564), 6.5, 12.0]"
7,"[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 39, 881334), 6.5, 12.0]"
8,"[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 41, 6115), 6.5, 12.0]"
9,"[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 10.0, 24.0]","[datetime.datetime(2022, 11, 28, 12, 9, 42, 133106), 6.5, 12.0]"
