,Seductive Angel,Bokarm Luna,Ember Lad,Clover Lizzie,Star Sirius,Bokarm Nero,Burringbar Gypsy
12-01-2023 10:30:10.910164,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 4.266666666666667)"
12-01-2023 10:30:11.990078,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 4.266666666666667)"
12-01-2023 10:30:13.024788,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 4.689655172413793)"
12-01-2023 10:30:14.122000,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 3.8333333333333335)"
12-01-2023 10:30:15.184772,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 3.8333333333333335)"
12-01-2023 10:30:16.202579,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 3.8333333333333335)"
12-01-2023 10:30:17.271721,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 3.8333333333333335)"
12-01-2023 10:30:18.314891,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.8, 3.7653846153846153)"
12-01-2023 10:30:19.336566,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.7, 4.183333333333334)"
12-01-2023 10:30:20.453484,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 4.183333333333334)"
12-01-2023 10:30:21.526934,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7666666666666666)"
12-01-2023 10:30:22.641672,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7666666666666666)"
12-01-2023 10:30:23.625791,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 4.119999999999999)"
12-01-2023 10:30:24.602937,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7346153846153847)"
12-01-2023 10:30:25.726060,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.475)"
12-01-2023 10:30:26.836174,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7333333333333334)"
12-01-2023 10:30:27.943265,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:28.982750,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:30.088086,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:31.249997,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:32.350951,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:33.392950,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
