,Wilgunya Scott,Bonbon Fire,Heres Caza,Edge Gambler,Bomber Stan,Shes A Sully,Dandy Gambler,Extreme Measures
12-01-2023 12:18:54.948265,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:18:56.093459,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:18:57.263596,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:18:58.383561,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:18:59.482172,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:00.557689,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:01.649025,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:02.759508,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:03.960319,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:05.082526,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:06.236266,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:07.351779,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:08.553829,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:09.715001,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:10.922430,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:12.088715,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:13.269113,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:14.348509,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:15.500466,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:16.529058,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:17.558871,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:18.600711,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
12-01-2023 12:19:19.699162,"(21.0, 50.0, 44.82142857142857)","(3.9, 6.6, 6.2214285714285715)","(21.0, 60.0, 53.10344827586207)","(2.2, 3.5, 2.3477777777777775)","(4.8, 9.8, 5.4)","(6.0, 10.5, 10.063106796116504)","(21.0, 65.0, 57.14285714285714)","(11.0, 32.0, 25.166666666666668)"
