,Oovii,Dragons Snip,Mishani Promise,Mishani Twilight,Mishani Tycoon,Mishani Valour,Leibert Lass,Mishani Diamond,Paris Art
06-01-2023 11:44:50.009103,"(2.6, 2.86, 2.853170731707317)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.262962962962963)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 10.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.5, 15.166666666666666)"
06-01-2023 11:44:51.343656,"(2.6, 2.86, 2.853170731707317)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.53333333333333)","(8.0, 12.0, 10.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.5, 15.3)"
06-01-2023 11:44:52.692353,"(2.6, 2.86, 2.853170731707317)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.288888888888889)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 10.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.0, 15.1)"
06-01-2023 11:44:53.970824,"(2.6, 2.86, 2.853170731707317)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.53333333333333)","(8.0, 12.0, 10.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 17.5, 17.833333333333332)"
06-01-2023 11:44:55.295418,"(2.6, 2.86, 2.834)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 10.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 20.0, 15.9)"
06-01-2023 11:44:56.615332,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 10.75)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.5, 15.071428571428571)"
06-01-2023 11:44:57.934171,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.5, 10.0)","(26.0, 70.0, 62.72727272727273)","(11.0, 19.0, 15.071428571428571)"
06-01-2023 11:44:59.267170,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 8.0)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.25)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 10.0)","(26.0, 70.0, 55.714285714285715)","(11.0, 19.0, 15.3)"
06-01-2023 11:45:00.574296,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 7.88)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.3374999999999995)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 46.53333333333333)","(8.0, 12.0, 9.5)","(26.0, 70.0, 62.72727272727273)","(11.0, 18.0, 15.3)"
06-01-2023 11:45:01.919274,"(2.6, 2.86, 2.8166666666666664)","(6.0, 8.6, 7.3999999999999995)","(31.0, 75.0, 57.5)","(3.7, 4.6, 4.3374999999999995)","(8.0, 17.0, 13.333333333333334)","(20.0, 50.0, 42.77777777777778)","(8.0, 12.0, 9.5)","(26.0, 70.0, 55.714285714285715)","(11.0, 18.0, 15.1)"
