,Tessa Orchid,Princess Gypsy,Little Zambora,Lala Ultra Fast,River Matt,Super Bob,Holtorf Bale,Vitnell Bale
14-12-2022 13:37:58.720592,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:00.078518,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:01.585724,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:03.033982,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:04.389968,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:05.692744,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:06.986450,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:08.286363,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:09.566400,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:10.900375,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:12.234261,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
