,Fat And Furious,Walk Softly,Uptown Rhapsody,Renegade Princess,Miss Ghislaine,The Ginger Queen,Pink Channel,Opal Creek,Twelve Stars
11-01-2023 09:11:36.615588,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)"
11-01-2023 09:11:38.206298,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)"
11-01-2023 09:11:39.733677,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)"
11-01-2023 09:11:41.297342,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:43.023540,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:44.660120,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:46.116510,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:47.867885,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:49.369723,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
11-01-2023 09:11:50.703255,"(5.5, 99999, 99990)","(9.0, 99999, 99990)","(41.0, 99999, 99990)","(4.4, 99999, 99990)","(11.0, 99999, 99990)","(2.7, 99999, 99990)","(21.0, 99999, 99990)","(18.0, 99999, 99990)","(7.0, 99999, 99990)"
