,Bisping,Double Edge Sword,Im A Cowboy,Scatamaran,Rithm Nic
15-12-2022 12:04:48.549577,"(4.6, 8.4, 7.445454545454545)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.555555555555557)","(5.0, 4.9, 4.766666666666667)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:49.480654,"(4.6, 8.6, 7.933333333333334)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.555555555555557)","(5.0, 4.9, 4.766666666666667)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:50.385776,"(4.6, 8.6, 8.12)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.555555555555557)","(5.0, 4.9, 4.766666666666667)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:51.220082,"(4.6, 8.4, 7.445454545454545)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.766666666666667)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:52.215580,"(4.6, 8.4, 7.445454545454545)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.766666666666667)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:53.336557,"(4.6, 8.4, 7.445454545454545)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:54.499707,"(4.6, 8.4, 7.445454545454545)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:55.857155,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:56.919050,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2484615384615383)"
15-12-2022 12:04:57.998753,"(4.6, 8.4, 7.408333333333333)","(7.0, 8.6, 8.333333333333332)","(8.5, 19.5, 18.083333333333336)","(5.0, 4.9, 4.614285714285715)","(2.05, 2.26, 2.2466666666666666)"
