,Spring Port,Master Ogilvie,Daimler Bale,Militant Storm,Minor Ash,Irish Bullet,Spring Arlo,Skys Mate
06-01-2023 14:23:53.105513,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:23:54.586110,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:23:56.122764,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:23:57.676050,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:23:59.415858,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:01.074187,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:02.717453,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:04.272094,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:05.856307,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:07.519016,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:09.026643,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:10.361437,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:11.745023,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:13.194889,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:14.543020,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:15.890734,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:17.242308,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:18.671474,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:20.084886,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 89.4)"
06-01-2023 14:24:21.520094,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:22.866632,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:24.221022,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:25.599733,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
06-01-2023 14:24:27.032121,"(2.45, 3.7, 2.516969696969697)","(3.8, 5.9, 4.036666666666667)","(5.5, 11.0, 5.87)","(9.0, 17.5, 14.307692307692307)","(5.5, 8.8, 7.310344827586207)","(10.0, 19.5, 18.490000000000002)","(20.0, 210.0, 104.28571428571428)","(31.0, 180.0, 83.57142857142857)"
