,Family Star,Higher Realm,Lily Ofthe Glen,Aspen Lad,Hit Snooze
07-01-2023 14:14:07.200258,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:08.255645,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:09.195502,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:10.168249,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:11.154146,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:12.130874,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:13.038158,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:13.893702,"(3.7, 4.8, 4.514285714285714)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:14.863046,"(3.7, 4.8, 4.6)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:15.833962,"(3.7, 4.8, 4.6)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 6.0)","(4.0, 4.9, 4.86923076923077)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:16.754077,"(3.7, 4.8, 4.6)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.933333333333334)","(4.0, 4.9, 4.728571428571429)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:17.676547,"(3.7, 4.8, 4.6)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.933333333333334)","(4.0, 4.9, 4.54)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:18.686228,"(3.7, 4.8, 4.6)","(3.7, 4.8, 4.633333333333333)","(4.8, 6.2, 5.933333333333334)","(4.0, 4.9, 4.521052631578947)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:19.583447,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.933333333333334)","(4.0, 4.9, 4.521052631578947)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:20.532387,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.933333333333334)","(4.0, 4.9, 4.521052631578947)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:21.472053,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:22.306994,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:23.313321,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:24.289351,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:25.235180,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:26.179331,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:27.100207,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:28.090885,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.7299999999999995)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.8, 4.542857142857143)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:29.032650,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.741666666666666)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.4959537572254336)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:30.009748,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.741666666666666)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.4959537572254336)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:30.882677,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.758823529411765)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.4959537572254336)","(5.5, 6.0, 5.985074626865671)"
07-01-2023 14:14:31.705424,"(3.7, 4.8, 4.55)","(3.7, 4.8, 4.761111111111111)","(4.8, 6.2, 5.966666666666667)","(4.0, 4.5, 4.495833333333334)","(5.5, 6.0, 5.95)"
