,Bracken Warrior,Radiant Amber,Mini Mine Yet Nz,Top The Ace,Gimme A Reason,Miss Daytona Nz,Mister Cole,Crazy Shippo,Murphys Reward Nz,Twentyeightblack
10-01-2023 15:48:52.166702,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:48:53.646764,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:48:55.166199,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:48:56.571241,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:48:57.946873,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:48:59.327956,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:00.804443,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:02.196951,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:03.661843,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:05.074970,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:06.496303,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:07.893216,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:09.141432,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:10.456864,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:11.735745,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:13.134475,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:14.492034,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:15.907156,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:17.337824,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:18.726688,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
10-01-2023 15:49:20.071606,"(8.5, 17.5, 12.649999999999999)","(3.8, 5.1, 4.666666666666666)","(3.2, 99999, 99990)","(4.8, 7.6, 6.2)","(13.0, 19.0, 14.666666666666666)","(8.0, 99999, 99990)","(11.0, 18.0, 13.6)","(101.0, 220.0, 191.42857142857144)","(11.0, 99999, 99990)","(101.0, 220.0, 180.0)"
