,Willby Rules,Alpine Blast,Lions Tooth,Aspirate,Mascherata,Gee Gee Can Win,Spirited Toff,Techno Awards,The Beekeeper,Miss Sleuth
11-01-2023 15:47:07.713532,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 29.0, 19.4)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:09.860023,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.893913043478261)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:11.773709,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:13.465206,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:15.064446,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:16.724216,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:18.382216,"(16.0, 22.0, 17.333333333333332)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:20.017423,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:21.613261,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
11-01-2023 15:47:23.216777,"(16.0, 22.0, 20.833333333333336)","(6.5, 9.4, 7.733333333333333)","(17.0, 46.0, 27.333333333333336)","(15.0, 28.0, 20.666666666666668)","(2.7, 3.2, 2.9130434782608696)","(2.6, 3.85, 3.5166666666666666)","(10.0, 13.0, 12.127272727272727)","(51.0, 170.0, 109.0)","(12.0, 19.0, 15.5)","(101.0, 220.0, 182.5)"
