,Mariahs Shadow,Joey Girl,Kahina,Pay Me Interest Nz,Whistle On By,Atreacherous
12-01-2023 12:03:17.233911,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:18.184673,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:19.166355,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:20.166817,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:21.179951,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:22.151205,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:23.123866,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:24.038302,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:25.020845,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:25.948185,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:26.916822,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:27.846232,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:28.701322,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:29.635282,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:30.629957,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
12-01-2023 12:03:31.619732,"(81.0, 180.0, 154.28571428571428)","(21.0, 55.0, 38.5)","(3.6, 6.0, 5.72)","(10.0, 99999, 99990)","(10.0, 19.5, 13.5)","(1.3, 1.81, 1.6600000000000001)"
