,Stings To Burn,Aston Bier,Erupting Avatar,Liberty Royal,Our Boy Ziggy,Delta Storm,All Inn Scooby,Jax Flash
08-12-2022 12:49:57.651831,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.825)","(8.5, 16.0, 11.066666666666666)","(8.0, 13.5, 12.592307692307692)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.6, 4.833333333333333)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:49:58.929970,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.825)","(8.5, 16.0, 11.066666666666666)","(8.0, 13.5, 12.592307692307692)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.6, 4.833333333333333)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:00.287219,"(6.0, 10.0, 8.28)","(8.0, 23.0, 17.825)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.6, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:01.482534,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:02.683859,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:03.893510,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:05.125811,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:06.647198,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:08.028751,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
08-12-2022 12:50:09.383208,"(6.0, 10.0, 8.28)","(8.0, 23.0, 19.166666666666664)","(8.5, 16.0, 9.657142857142857)","(8.0, 13.5, 12.458823529411765)","(5.0, 8.6, 7.0636363636363635)","(6.0, 10.5, 8.182758620689656)","(4.2, 6.4, 5.48125)","(5.0, 11.5, 10.046153846153846)"
