,Road Home,Blue Jeans Talk,Akimbo,White Like Snow,Black Delight,Five Putt Cal
11-01-2023 21:01:49.113902,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:50.172941,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:51.159600,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:52.155273,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:53.186359,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:54.323012,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:55.500000,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:56.700649,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:57.839479,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:58.973792,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:00.100439,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:01.268564,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:02.457880,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:03.688589,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:04.818851,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
