,Galaga,Miss Eugen,Graciebird,Sly As A Fox,Dream Evil,Take Another Look,Nippa Whiskey
07-01-2023 15:06:08.632241,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:09.789086,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:10.843458,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:11.802457,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:12.927349,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:13.983809,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:15.072671,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:16.103319,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.1, 1.9821428571428572)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:17.094507,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.98)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:18.113852,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.98)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:19.124184,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.98)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:20.033416,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.98)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:21.068947,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:22.041071,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:22.949480,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:23.847522,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
07-01-2023 15:06:24.802769,"(12.0, 18.5, 16.25)","(4.8, 7.4, 7.211111111111111)","(10.0, 21.0, 16.1)","(8.5, 15.5, 11.125)","(1.9, 2.06, 1.9735714285714285)","(5.0, 9.4, 8.280000000000001)","(18.0, 55.0, 34.333333333333336)"
