,Bons Better,Mont Royal,Royal Midnight,Curry Legend,Hard To Level,Invaness,Shes Approaching,Wan Damour,Stobosa,Gorgeous King,Evelyn Salt,Angama
12-01-2023 13:52:49.467408,"(3.1, 3.6, 3.5294117647058822)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.4, 2.4276923076923076)","(26.0, 48.0, 39.666666666666664)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 58.095238095238095)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.125)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:51.290240,"(3.1, 3.6, 3.5294117647058822)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.4276923076923076)","(26.0, 48.0, 39.666666666666664)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 58.095238095238095)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.125)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:53.116680,"(3.1, 3.6, 3.5294117647058822)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.4276923076923076)","(26.0, 48.0, 39.666666666666664)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 58.095238095238095)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.125)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:54.778460,"(3.1, 3.6, 3.555555555555556)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.432072072072072)","(26.0, 48.0, 39.333333333333336)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 58.095238095238095)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:56.438256,"(3.1, 3.55, 3.5277777777777777)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.4421487603305785)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 58.095238095238095)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:57.983383,"(3.1, 3.55, 3.5277777777777777)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.46, 2.438974358974359)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 60.0, 64.16666666666667)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:52:59.511163,"(3.1, 3.55, 3.5277777777777777)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.438974358974359)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.16666666666667)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:01.158445,"(3.1, 3.55, 3.54)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.438974358974359)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:02.817101,"(3.1, 3.55, 3.54)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.438904109589041)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
12-01-2023 13:53:04.413752,"(3.1, 3.55, 3.5357142857142856)","(31.0, 40.0, 35.5)","(61.0, 140.0, 126.66666666666667)","(2.1, 2.44, 2.438904109589041)","(26.0, 46.0, 38.72727272727273)","(8.5, 11.5, 11.45)","(17.0, 23.0, 22.928571428571427)","(26.0, 65.0, 64.28571428571429)","(21.0, 48.0, 44.30769230769231)","(101.0, 410.0, 323.3333333333333)","(11.0, 17.5, 17.071428571428573)","(81.0, 220.0, 215.0)"
