,Promise Stride,Margarets Clan,Queen Treacherie Nz,Biglittlesis,Lucksafortune,Shady Story,Solo Sync,Forsaken Me,De Marco Beach,Bettor Blast Nz,Pacific Rock,My Ultimate Jimbo
08-01-2023 17:35:07.273598,"(71.0, 170.0, 117.5)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 35.45454545454545)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:08.728113,"(71.0, 170.0, 117.5)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 35.45454545454545)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:10.286644,"(71.0, 170.0, 117.5)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 32.85714285714286)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:11.861909,"(71.0, 170.0, 117.5)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 32.85714285714286)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:13.411965,"(71.0, 170.0, 117.5)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 35.45454545454545)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:14.970928,"(71.0, 170.0, 117.5)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 35.45454545454545)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:16.441230,"(71.0, 170.0, 117.5)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 55.0)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 32.85714285714286)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:17.935634,"(71.0, 170.0, 117.5)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 60.0, 66.66666666666667)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 26.75)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:19.479384,"(71.0, 170.0, 135.0)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 75.0, 63.333333333333336)","(19.0, 34.0, 32.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 30.0)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:20.946326,"(71.0, 170.0, 135.0)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 70.0, 63.333333333333336)","(19.0, 34.0, 32.14285714285714)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 30.0)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:22.376547,"(71.0, 170.0, 135.0)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 70.0, 63.333333333333336)","(19.0, 34.0, 31.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 30.0)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:23.861635,"(71.0, 170.0, 135.0)","(7.5, 15.0, 13.333333333333334)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 70.0, 63.333333333333336)","(19.0, 34.0, 31.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 30.0)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
08-01-2023 17:35:25.323358,"(71.0, 170.0, 135.0)","(7.5, 15.0, 11.666666666666666)","(1.12, 99999, 99990)","(31.0, 90.0, 75.0)","(31.0, 70.0, 63.333333333333336)","(19.0, 34.0, 31.0)","(81.0, 160.0, 126.66666666666667)","(16.0, 40.0, 30.0)","(41.0, 140.0, 97.5)","(51.0, 99999, 99990)","(31.0, 110.0, 70.0)","(101.0, 160.0, 112.5)"
