,Midnight Queen,Balboa Shannon,Diesel Don,Lady Pebbles,Sahara Jewel,Its Inevitable Nz,Dothedealdylan,Mac Stubborn,Miss Maravu,Uptotrix
15-12-2022 13:25:28.192777,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:29.615774,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:30.953934,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:32.195376,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:33.599914,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:35.002848,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:36.462517,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:37.819214,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:39.142772,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:40.436626,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:41.732183,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
15-12-2022 13:25:43.033694,"(21.0, 75.0, 40.0)","(7.0, 19.0, 10.75)","(3.3, 5.0, 3.523809523809524)","(12.0, 22.0, 13.6)","(13.0, 24.0, 17.0)","(11.0, 99999, 99990)","(21.0, 70.0, 35.66666666666667)","(8.0, 15.5, 11.85)","(5.0, 11.0, 7.0)","(4.8, 6.8, 5.466666666666667)"
