,Alvin Rose,Rocket Man Rose,Legendary Value,Toby West,Im Gifted Too,Victa Grosso
06-01-2023 14:01:25.060496,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 47.25)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.376923076923077)","(2.9, 4.6, 3.25)","(3.5, 6.0, 3.8642857142857143)"
06-01-2023 14:01:26.461234,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 47.25)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7442307692307693)"
06-01-2023 14:01:27.792271,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 47.25)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:29.002494,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 47.25)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:30.137483,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 47.25)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:31.262998,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:32.383269,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:33.511807,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:34.687519,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.7884615384615383)"
06-01-2023 14:01:35.746075,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.316666666666667)","(2.9, 4.6, 3.1436363636363636)","(3.5, 6.0, 3.5083333333333333)"
06-01-2023 14:01:36.848563,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.6, 3.1166666666666663)","(3.5, 6.0, 4.65)"
06-01-2023 14:01:37.902481,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.6, 3.0999999999999996)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:39.011054,"(26.0, 110.0, 76.53846153846155)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:40.148036,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:41.202656,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:42.306594,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:43.421598,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:44.449347,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
06-01-2023 14:01:45.493203,"(26.0, 110.0, 78.92857142857143)","(21.0, 75.0, 51.875)","(12.0, 26.0, 13.5)","(2.0, 3.3, 2.3015384615384615)","(2.9, 4.5, 3.0784615384615384)","(3.5, 5.9, 4.65)"
