,Melinke,Dissmagic,Drink Then Kiss,Fine Things,Rocknrollprincess,Cato Lake,Coldenkim,Piwhane,Warringah Storm,Lone Raider
04-01-2023 14:09:12.879736,"(3.9, 4.9, 4.852631578947369)","(5.5, 7.2, 7.036)","(4.2, 4.6, 4.62)","(11.0, 15.0, 14.5)","(101.0, 260.0, 230.0)","(7.0, 10.5, 10.383720930232558)","(71.0, 130.0, 115.0)","(3.6, 4.3, 4.205)","(101.0, 250.0, 202.22222222222223)","(71.0, 110.0, 100.0)"
04-01-2023 14:09:14.387274,"(3.9, 4.9, 4.852631578947369)","(5.5, 7.2, 6.892307692307692)","(4.2, 4.7, 4.612871287128713)","(11.0, 15.0, 14.5)","(101.0, 250.0, 240.0)","(7.0, 10.5, 10.383720930232558)","(71.0, 130.0, 115.0)","(3.6, 4.3, 4.205)","(101.0, 220.0, 202.22222222222223)","(71.0, 110.0, 100.0)"
04-01-2023 14:09:15.974641,"(3.9, 4.9, 4.852631578947369)","(5.5, 7.0, 6.892307692307692)","(4.2, 4.7, 4.6169811320754715)","(11.0, 15.0, 14.428571428571429)","(101.0, 260.0, 235.0)","(7.0, 10.5, 10.383720930232558)","(71.0, 130.0, 115.0)","(3.6, 4.3, 4.205)","(101.0, 220.0, 202.22222222222223)","(71.0, 110.0, 100.0)"
04-01-2023 14:09:17.390063,"(3.9, 4.9, 4.852631578947369)","(5.5, 7.0, 6.945454545454545)","(4.2, 4.7, 4.620833333333333)","(11.0, 15.0, 14.409090909090908)","(101.0, 250.0, 233.33333333333334)","(7.0, 10.5, 10.44047619047619)","(71.0, 130.0, 124.0)","(3.6, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 110.0, 122.5)"
04-01-2023 14:09:18.897033,"(3.9, 4.7, 4.711111111111111)","(5.5, 7.0, 6.925)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.409090909090908)","(101.0, 260.0, 233.33333333333334)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 130.0, 122.5)"
04-01-2023 14:09:20.184656,"(3.9, 4.8, 4.72258064516129)","(5.5, 7.0, 6.925)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.409090909090908)","(101.0, 260.0, 235.0)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 130.0, 122.5)"
04-01-2023 14:09:21.463035,"(3.9, 4.8, 4.72258064516129)","(5.5, 7.0, 6.907692307692308)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.409090909090908)","(101.0, 250.0, 233.33333333333334)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 130.0, 122.5)"
04-01-2023 14:09:22.759579,"(3.9, 4.8, 4.72258064516129)","(5.5, 7.0, 6.871428571428571)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.409090909090908)","(101.0, 260.0, 233.33333333333334)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 130.0, 122.5)"
04-01-2023 14:09:24.063619,"(3.9, 4.8, 4.72258064516129)","(5.5, 7.0, 6.871428571428571)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.409090909090908)","(101.0, 260.0, 235.0)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.263636363636364)","(101.0, 220.0, 173.33333333333334)","(71.0, 130.0, 122.5)"
04-01-2023 14:09:25.443439,"(3.9, 4.8, 4.72258064516129)","(5.5, 7.0, 6.871428571428571)","(4.2, 4.7, 4.6192660550458715)","(11.0, 15.0, 14.257142857142856)","(101.0, 250.0, 235.0)","(7.0, 10.5, 10.477011494252874)","(71.0, 130.0, 126.25)","(3.7, 4.3, 4.144444444444444)","(101.0, 220.0, 164.0)","(71.0, 130.0, 122.5)"
