,Indy Van Cool,Patch Herrera,Garrys Chaos,Hard Case Watson,Foul Play,Off Switch
04-01-2023 12:52:10.820435,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 32.0, 23.666666666666668)"
04-01-2023 12:52:11.844668,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 32.0, 23.666666666666668)"
04-01-2023 12:52:12.922702,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 32.0, 23.666666666666668)"
04-01-2023 12:52:14.032026,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 32.0, 29.5)"
04-01-2023 12:52:15.101032,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 32.0, 36.5)"
04-01-2023 12:52:16.079802,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:17.019508,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:17.894924,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:18.838302,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:19.804725,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:20.864460,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:21.810756,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:22.766658,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
04-01-2023 12:52:23.664945,"(1.35, 1.76, 1.3828)","(19.0, 55.0, 36.25)","(3.7, 7.0, 3.77)","(8.5, 19.0, 14.923076923076923)","(31.0, 330.0, 145.3846153846154)","(13.0, 40.0, 36.5)"
