,Goldstar Toby,Grande Vue Ace,Calculated Risk,Quetzal Bale,Locky Balboa,Goldstar Austin,Replica Rebel
09-01-2023 09:19:16.085375,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:17.133294,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:18.213463,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:19.361297,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:20.483797,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:21.612891,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:22.691686,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:23.892363,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:24.999556,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:26.149379,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:27.272104,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
09-01-2023 09:19:28.404984,"(3.1, 9.2, 5.740625)","(2.8, 8.0, 3.468148148148148)","(3.0, 8.4, 5.141176470588235)","(21.0, 240.0, 130.0)","(31.0, 440.0, 235.0)","(5.5, 23.0, 14.65625)","(16.0, 200.0, 107.25)"
