,Rosas Legend,Black Magic Ryno,Blazing Brothers,County Mist,Best Mate,Atomic Hope,Baby Thor,Over Load
11-01-2023 21:52:25.319238,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:26.504607,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:27.662439,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:28.856818,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:30.160262,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:31.415829,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:32.684205,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:34.179062,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:35.504254,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
11-01-2023 21:52:36.786051,"(2.8, 5.0, 3.6254545454545455)","(31.0, 120.0, 54.285714285714285)","(18.0, 55.0, 37.27272727272727)","(13.0, 38.0, 29.5)","(5.0, 10.5, 5.409090909090909)","(2.25, 3.4, 2.650810810810811)","(8.0, 19.5, 9.916666666666666)","(31.0, 220.0, 82.85714285714286)"
