,Gulmarg,Jang Pel,Lara Bay,Galvarino,All Star Magician,Sweet Jasmine,Toro Delago Nz,Betting Baron,Getaloadathisbro
14-12-2022 19:14:01.587628,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 8.533333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:02.871477,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 8.533333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:04.102815,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 8.533333333333333)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:05.281280,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 8.88)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:06.445168,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:07.614514,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:08.854216,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:10.077646,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:11.330435,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
14-12-2022 19:14:12.531979,"(3.2, 4.1, 3.873333333333333)","(5.5, 9.6, 8.88888888888889)","(21.0, 42.0, 34.5)","(10.0, 16.5, 11.9)","(7.5, 12.5, 10.299999999999999)","(10.0, 16.0, 12.9)","(9.0, 99999, 99990)","(5.5, 9.4, 9.100000000000001)","(6.0, 9.2, 8.08)"
