,Chipping Campden,Darra Linen,Little Ms Dreamer,Queen Of Tayrona,Schiller Effect,Empress Of Sydney,Misty Gold,Savvy Bee,Shikishi,Ask,Epsom Magic
07-01-2023 12:26:52.286428,"(31.0, 40.0, 39.82857142857143)","(14.0, 18.5, 18.427152317880793)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2560995850622407)","(12.0, 14.0, 13.903773584905661)","(11.0, 13.0, 12.87603305785124)","(4.6, 5.3, 5.25576923076923)","(11.0, 13.5, 13.204724409448819)","(19.0, 27.0, 25.78048780487805)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:26:53.939732,"(31.0, 40.0, 39.82857142857143)","(14.0, 18.5, 18.427152317880793)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.2562049861495845)","(12.0, 14.0, 13.93673469387755)","(11.0, 13.0, 12.882352941176471)","(4.6, 5.3, 5.266666666666667)","(10.0, 13.5, 13.204724409448819)","(19.0, 27.0, 25.711111111111112)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:26:55.561523,"(31.0, 40.0, 39.82857142857143)","(14.0, 18.5, 18.427152317880793)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.255668789808917)","(12.0, 14.0, 13.93673469387755)","(11.0, 13.0, 12.882352941176471)","(4.6, 5.3, 5.270103092783505)","(10.0, 13.5, 13.204724409448819)","(19.0, 27.0, 25.711111111111112)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:26:57.141422,"(31.0, 40.0, 39.13274336283186)","(14.0, 18.5, 18.443298969072163)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.2564406779661015)","(12.0, 14.0, 13.942379182156134)","(11.0, 13.0, 12.882352941176471)","(4.6, 5.3, 5.254545454545455)","(10.0, 13.5, 13.21311475409836)","(19.0, 27.0, 26.103448275862068)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:26:58.675323,"(31.0, 44.0, 40.67796610169491)","(14.0, 18.5, 18.443298969072163)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.25643109540636)","(12.0, 14.0, 13.915194346289752)","(11.0, 13.0, 12.865384615384615)","(4.6, 5.3, 5.268641114982579)","(10.0, 13.5, 13.21311475409836)","(19.0, 27.0, 26.037037037037038)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:27:00.285025,"(31.0, 44.0, 40.67796610169491)","(14.0, 18.5, 18.43265306122449)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.2573881932021465)","(12.0, 14.0, 13.916083916083917)","(11.0, 13.0, 12.859296482412061)","(4.6, 5.3, 5.263562753036437)","(11.0, 13.5, 13.318181818181818)","(20.0, 27.0, 26.04)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:27:01.964083,"(31.0, 44.0, 40.85245901639344)","(14.0, 18.5, 18.42142857142857)","(71.0, 100.0, 92.5)","(91.0, 140.0, 139.25)","(2.05, 2.26, 2.256824817518248)","(12.0, 14.0, 13.904382470119522)","(11.0, 13.0, 12.812883435582823)","(4.6, 5.3, 5.232339449541285)","(11.0, 13.5, 13.264084507042254)","(20.0, 27.0, 26.04)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:27:03.581332,"(31.0, 44.0, 40.85245901639344)","(14.0, 18.5, 18.419431279620852)","(71.0, 100.0, 91.32075471698113)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2596588486140723)","(12.0, 14.0, 13.871794871794872)","(11.0, 13.0, 12.812883435582823)","(4.6, 5.3, 5.223907455012854)","(11.0, 13.5, 13.264084507042254)","(19.0, 27.0, 26.076923076923077)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:27:05.179716,"(31.0, 44.0, 40.85245901639344)","(14.0, 18.5, 18.419431279620852)","(71.0, 100.0, 91.32075471698113)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2589527027027025)","(12.0, 14.0, 13.871794871794872)","(11.0, 13.0, 12.812883435582823)","(4.6, 5.3, 5.223907455012854)","(11.0, 13.5, 13.10989010989011)","(19.0, 27.0, 26.076923076923077)","(101.0, 200.0, 196.66666666666666)"
07-01-2023 12:27:06.841621,"(31.0, 44.0, 40.85245901639344)","(14.0, 18.5, 18.419431279620852)","(71.0, 100.0, 94.4)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2589527027027025)","(12.0, 14.0, 13.871794871794872)","(11.0, 13.0, 12.867521367521368)","(4.6, 5.3, 5.213103448275862)","(11.0, 13.5, 13.072289156626507)","(19.0, 27.0, 26.076923076923077)","(101.0, 200.0, 196.42857142857142)"
07-01-2023 12:27:08.443728,"(31.0, 44.0, 40.85245901639344)","(14.0, 18.5, 18.420187793427232)","(71.0, 95.0, 93.5)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2590938511326857)","(12.0, 14.0, 13.873188405797102)","(11.0, 13.0, 12.867521367521368)","(4.6, 5.3, 5.2129692832764505)","(11.0, 13.5, 12.962616822429906)","(19.0, 27.0, 26.19148936170213)","(101.0, 200.0, 196.42857142857142)"
07-01-2023 12:27:10.084783,"(31.0, 44.0, 40.95238095238095)","(14.0, 18.5, 18.420187793427232)","(71.0, 95.0, 93.39285714285714)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.26, 2.2635521235521234)","(12.0, 14.0, 13.873188405797102)","(11.0, 13.0, 12.961538461538462)","(4.6, 5.3, 5.221646341463415)","(11.0, 13.0, 12.949367088607595)","(20.0, 27.0, 26.19148936170213)","(101.0, 200.0, 196.42857142857142)"
07-01-2023 12:27:11.706907,"(31.0, 44.0, 40.95238095238095)","(14.0, 18.5, 18.420187793427232)","(71.0, 95.0, 93.39285714285714)","(91.0, 140.0, 139.48717948717947)","(2.05, 2.28, 2.2635521235521234)","(12.0, 14.0, 13.873188405797102)","(11.0, 13.0, 12.961538461538462)","(4.6, 5.3, 5.221646341463415)","(11.0, 13.0, 12.949367088607595)","(20.0, 27.0, 26.19148936170213)","(101.0, 200.0, 196.42857142857142)"
07-01-2023 12:27:13.637606,"(31.0, 46.0, 42.13186813186813)","(14.0, 18.5, 18.427906976744186)","(71.0, 95.0, 93.44827586206897)","(91.0, 160.0, 146.08695652173913)","(2.05, 2.28, 2.2701509872241576)","(12.0, 14.0, 13.882142857142856)","(11.0, 12.5, 12.498360655737706)","(4.6, 5.3, 5.226881720430107)","(11.0, 13.0, 12.975903614457831)","(20.0, 27.0, 26.025641025641026)","(101.0, 200.0, 197.5)"
07-01-2023 12:27:15.915625,"(31.0, 46.0, 42.24242424242424)","(14.0, 18.5, 18.427906976744186)","(71.0, 95.0, 93.44827586206897)","(91.0, 160.0, 145.3846153846154)","(2.05, 2.28, 2.2695437731196053)","(12.0, 14.0, 13.903614457831326)","(11.0, 12.5, 12.498134328358208)","(4.6, 5.3, 5.226687116564417)","(11.0, 13.0, 12.741935483870968)","(20.0, 27.0, 25.944444444444443)","(101.0, 200.0, 197.69230769230768)"
07-01-2023 12:27:17.964264,"(31.0, 46.0, 42.52336448598131)","(15.0, 18.5, 18.452272727272728)","(71.0, 95.0, 93.6842105263158)","(91.0, 160.0, 139.76190476190476)","(2.05, 2.28, 2.26120082815735)","(12.0, 14.0, 13.873015873015873)","(11.0, 13.0, 12.8268156424581)","(4.6, 5.2, 5.182142857142857)","(10.0, 13.0, 12.63953488372093)","(20.0, 27.0, 26.11111111111111)","(101.0, 200.0, 197.33333333333334)"
07-01-2023 12:27:19.641951,"(31.0, 46.0, 42.82142857142857)","(15.0, 18.5, 18.452272727272728)","(71.0, 95.0, 88.75)","(91.0, 140.0, 139.79591836734693)","(2.05, 2.28, 2.2763714902807775)","(12.0, 14.0, 13.873015873015873)","(10.0, 13.0, 12.439169139465875)","(4.6, 5.2, 5.1834586466165415)","(10.0, 13.0, 12.708333333333334)","(20.0, 27.0, 26.11111111111111)","(101.0, 200.0, 198.0)"
07-01-2023 12:27:21.198034,"(31.0, 46.0, 42.82142857142857)","(15.0, 18.5, 18.452272727272728)","(71.0, 95.0, 90.83333333333333)","(91.0, 140.0, 139.23076923076923)","(2.05, 2.28, 2.269661835748792)","(12.0, 14.0, 13.873015873015873)","(10.0, 12.5, 12.438622754491018)","(4.6, 5.2, 5.1834586466165415)","(10.0, 13.0, 12.723214285714286)","(20.0, 27.0, 26.11111111111111)","(101.0, 200.0, 211.11111111111111)"
07-01-2023 12:27:22.727698,"(31.0, 46.0, 42.82142857142857)","(15.0, 18.5, 18.454741379310345)","(71.0, 95.0, 88.6842105263158)","(91.0, 140.0, 139.16666666666666)","(2.05, 2.28, 2.274526854219949)","(12.0, 14.0, 13.9)","(10.0, 12.5, 12.398)","(4.6, 5.2, 5.184848484848485)","(10.0, 13.0, 12.75)","(20.0, 27.0, 25.51219512195122)","(101.0, 220.0, 208.57142857142858)"
07-01-2023 12:27:24.255502,"(31.0, 46.0, 42.957264957264954)","(15.0, 18.5, 18.454741379310345)","(71.0, 90.0, 88.6842105263158)","(91.0, 140.0, 139.11111111111111)","(2.05, 2.28, 2.2769659442724457)","(12.0, 14.0, 13.907843137254902)","(10.0, 12.5, 12.386666666666667)","(4.6, 5.2, 5.18431105047749)","(10.0, 13.0, 12.734848484848484)","(20.0, 26.0, 25.51219512195122)","(101.0, 220.0, 207.69230769230768)"
07-01-2023 12:27:25.895616,"(31.0, 46.0, 42.957264957264954)","(15.0, 18.5, 18.454741379310345)","(61.0, 90.0, 89.57627118644068)","(91.0, 140.0, 139.11111111111111)","(2.0, 2.28, 2.2769659442724457)","(12.0, 14.0, 13.885245901639344)","(10.0, 12.5, 12.386666666666667)","(4.6, 5.2, 5.184396200814112)","(10.0, 13.0, 12.734848484848484)","(20.0, 26.0, 25.477272727272727)","(101.0, 220.0, 207.69230769230768)"
07-01-2023 12:27:27.557529,"(31.0, 46.0, 43.67164179104478)","(15.0, 18.5, 18.454741379310345)","(61.0, 90.0, 89.57627118644068)","(91.0, 140.0, 139.11111111111111)","(2.0, 2.28, 2.273248945147679)","(12.0, 14.0, 13.862934362934363)","(10.0, 12.5, 12.465034965034965)","(4.6, 5.2, 5.184027777777778)","(10.0, 13.0, 12.75)","(20.0, 26.0, 25.477272727272727)","(101.0, 220.0, 207.77777777777777)"
07-01-2023 12:27:29.175030,"(31.0, 46.0, 43.67164179104478)","(15.0, 18.5, 18.454741379310345)","(61.0, 90.0, 94.64285714285714)","(91.0, 140.0, 139.11111111111111)","(2.05, 2.28, 2.2774216027874563)","(12.0, 14.0, 13.865019011406844)","(10.0, 12.5, 12.461832061068701)","(4.6, 5.2, 5.18371104815864)","(10.0, 13.0, 12.765151515151516)","(20.0, 26.0, 25.51063829787234)","(101.0, 220.0, 207.77777777777777)"
07-01-2023 12:27:30.880971,"(31.0, 46.0, 43.833333333333336)","(15.0, 18.5, 18.457142857142856)","(61.0, 95.0, 94.65517241379311)","(91.0, 140.0, 139.14893617021278)","(2.05, 2.3, 2.294806629834254)","(12.0, 14.0, 13.871841155234657)","(10.0, 12.5, 12.465753424657533)","(4.6, 5.2, 5.192070484581498)","(10.0, 13.0, 12.150579150579151)","(20.0, 26.0, 25.72093023255814)","(101.0, 220.0, 208.21428571428572)"
