,Oodnadatta Man,Waves Crashing,Big Braveheart,Enraged,Sonic Sammy,Phantom Rex,Laquita Star
05-01-2023 14:54:05.150147,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:06.117193,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:07.109028,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:08.207265,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:09.322945,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:10.373801,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:11.419702,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:12.425483,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:13.555260,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:14.611381,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:15.667136,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
05-01-2023 14:54:16.585016,"(9.0, 19.0, 13.700000000000001)","(4.6, 7.2, 4.866666666666667)","(1.8, 2.54, 1.9036363636363638)","(41.0, 230.0, 173.42857142857142)","(10.0, 46.0, 26.909090909090907)","(4.0, 7.0, 4.4904761904761905)","(19.0, 60.0, 32.5)"
