,Maddie Odd Sock,Pinned Hearts,Renegade Ruslie,Reality Infrared,Mikado Eclipse,All Smiles,Kaths Girl,Smooth Cruiser
0,"[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 17, 479888), 12.0, 70.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 18, 623666), 12.0, 70.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 19, 751361), 12.0, 70.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 20, 887377), 12.0, 70.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 22, 10377), 12.0, 70.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 23, 143002), 12.0, 70.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 24, 270178), 12.0, 70.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 25, 407693), 12.0, 70.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 26, 536395), 12.0, 70.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 9.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 10.0, 55.0]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 2.2, 5.0]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 1.55, 2.92]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 18.0, 170.0]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 3.1, 8.2]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 26.0, 310.0]","[datetime.datetime(2022, 11, 28, 14, 28, 27, 664408), 12.0, 70.0]"
