,Little Edward,Cindys Charm,Gerrys Gift,Boot A Dream,Dr Valor,Dr Callie,Prince Pulpogan
07-12-2022 18:51:49.715336,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:50.829176,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:51.909084,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:52.903762,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:54.023271,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:55.115662,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:56.277143,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 49.07142857142857)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:57.373907,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:58.467733,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:51:59.527844,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:00.577543,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:01.648194,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
07-12-2022 18:52:02.730190,"(4.6, 8.0, 6.35)","(1.45, 1.6, 1.564)","(5.0, 11.5, 9.660869565217391)","(17.0, 50.0, 31.38888888888889)","(14.0, 55.0, 44.75)","(41.0, 380.0, 134.28571428571428)","(20.0, 60.0, 28.57142857142857)"
