,Dimora Cruz,Believing,Lamonica,Keep It Black,Four Barrels,Rothwell Rose,Go Seek Kotoni
07-01-2023 18:40:31.696659,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.25)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:32.729559,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:33.716622,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:34.808758,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:35.970236,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:36.889154,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:37.818930,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:38.736917,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:39.715664,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:40.644229,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:41.675503,"(5.0, 7.8, 6.942857142857143)","(8.5, 44.0, 35.875)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:43.012344,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:44.086267,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:45.108370,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 9.866666666666667)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:46.177550,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:47.291218,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.54)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:48.294062,"(5.0, 7.8, 6.942857142857143)","(8.5, 42.0, 34.375)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.54)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:49.328009,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:50.315935,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:51.274911,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:52.277441,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:53.197893,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:54.173285,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:55.112227,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:56.010632,"(5.0, 8.0, 6.133333333333333)","(8.5, 42.0, 38.66666666666667)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 59.14285714285714)","(4.8, 11.0, 10.418181818181818)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:56.936955,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:57.840834,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:58.816966,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:40:59.879082,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:00.832879,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:01.853733,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:02.915494,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:03.932804,"(5.0, 8.0, 6.133333333333333)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.341818181818182)","(6.0, 10.0, 7.266666666666667)","(31.0, 240.0, 72.0)","(4.8, 11.0, 9.56)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:05.179473,"(5.0, 8.0, 7.085714285714285)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.242857142857144)","(31.0, 240.0, 72.0)","(4.8, 10.5, 9.533333333333333)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:06.169067,"(5.0, 8.0, 7.085714285714285)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.242857142857144)","(31.0, 240.0, 72.0)","(4.8, 10.5, 9.533333333333333)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:07.115491,"(5.0, 8.0, 7.085714285714285)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 9.544444444444444)","(31.0, 240.0, 72.0)","(4.8, 10.5, 9.533333333333333)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:08.086706,"(5.0, 8.0, 7.085714285714285)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 9.544444444444444)","(31.0, 240.0, 72.0)","(4.8, 10.5, 9.533333333333333)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:09.043522,"(5.0, 8.0, 7.085714285714285)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 9.544444444444444)","(31.0, 240.0, 72.0)","(4.8, 10.5, 9.533333333333333)","(5.5, 11.0, 6.141666666666667)"
07-01-2023 18:41:09.987449,"(5.0, 7.0, 5.9)","(8.5, 44.0, 40.44444444444444)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 11.0, 6.1000000000000005)"
07-01-2023 18:41:10.916635,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:11.841547,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:12.842088,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:13.830833,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:14.968101,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.4305882352941177)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:16.027498,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.413333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:17.041374,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.413333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:18.070398,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.413333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
07-01-2023 18:41:19.074607,"(5.0, 7.0, 5.9)","(8.5, 44.0, 37.7)","(2.4, 2.56, 2.413333333333333)","(6.0, 10.0, 8.423076923076923)","(31.0, 240.0, 72.0)","(4.8, 11.0, 10.15)","(5.5, 10.5, 6.1000000000000005)"
